coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
2263167,"D. L. Largent",,"11 August 1994",,"Entoloma subsaundersii",,Largent,,,,,"Entolomatoid Fungi of the Western United States and Canada p. 294",,urn:uuid:7bb4cbd3-58c1-4523-9a6f-2238dbdfffff,"2015-02-24 11:51:58"
2263167,unknown,,unknown,,"Rhodophyllus grayanus",,"(Peck) Singer",,,,,,,urn:uuid:84cd7ed4-2a05-45e0-979a-e9a92b0acd42,"2015-02-24 11:51:58"
1921466,unknown,,unknown,,"Gastroboletus turbinatus",,,,,,,,,urn:uuid:c8c6d1bc-bc97-497e-8a2a-15c11063d56b,"2015-02-24 13:49:48"
1921765,"J. Trappe",,"15 Feb. 1999",,"Gastroboletus vividus",,"Trappe & Castellano",,,,,Mycotaxon,Paratype,urn:uuid:8d535140-0562-416f-a0ec-63668e45c355,"2015-02-25 12:50:12"
1921765,"H. D. Thiers",,unknown,,"Gastroboletus turbinatus",,,,,,,,,urn:uuid:725120fc-fcc3-49c9-9c76-3dda09402a92,"2015-02-25 12:50:12"
1921510,"H. D. Thiers",,unknown,,"Gastroboletus turbinatus",,,,,,,,,urn:uuid:90be6c81-11ad-4c8c-8619-21e379f3a2ce,"2015-02-25 13:08:57"
1921507,"H. D. Thiers",,unknown,,"Gastroboletus turbinatus",,,,,,,,,urn:uuid:9e71318d-a32b-4ab9-bacf-fc180af3fe8c,"2015-02-25 13:10:25"
1921515,"H. D. Thiers",,unknown,?,"Gastroboletus turbinatus",,,,,,,,,urn:uuid:c1ad4c8c-a6aa-4408-83f2-74b6457c96eb,"2015-02-25 13:12:13"
2426027,"B. Tamm",,unknown,,"Lyophyllum montanum",,"A.H. Sm.",,,,,,,urn:uuid:95c8979a-c12c-4f25-bab1-a9a200c34e7c,"2015-02-25 17:46:18"
666965,"vellinga (SFSU herbarium)",,2014-00-00,,"Boletus regineus",,"Arora & Simonini",,,,,,,urn:uuid:8794f4c6-bce6-4391-960d-4a836ac5fced,"2015-03-03 11:19:58"
666965,unknown,,unknown,,"Boletus aureus",,Schaeff.,,,,,,,urn:uuid:56468a84-59d8-4d35-bb7e-a8bc2786ce04,"2015-03-03 11:19:58"
657417,"M. Sánchez-García",,2014,,"Corneriella bambusarum",,"(Dennis & Hemmes) Sánchez-García",,,,,"Taxon 63: 993–1007",,urn:uuid:9ea8279a-32e7-42f3-95a6-760d6067cc15,"2015-03-03 16:59:52"
657406,unknown,,unknown,,"Pachyphlodes austro-oregonensis",,"(J.L. Frank & Trappe) Doweld",,,,,"Index Fungorum31: 1. 2013",,urn:uuid:a503d724-04f4-4ce9-80bc-21d9435d259e,"2015-03-03 17:19:48"
2449230,"S. E. Carpenter",,unknown,,"Marasmius borealis",,Gilliam,,,,,,,urn:uuid:83c391b1-bf16-4ba5-ad32-ad70e1b96555,"2015-03-10 15:35:20"
